"WHRS";"KL6";"K618";"WA";"WE";"WW";"HHRS";"HA";"HE";"HW";"MTR";"WMED";"WFED";"UN";"CIT";"AX"
1220;0;2;38;14;4,0984;2103;43;17;11,888;0,5815;7;7;5;1;9
200;0;2;40;12;25;1350;42;12;13,333;0,6615;7;7;7,5;1;2
2480;1;5;39;10;2,6331;2880;36;17;8,6806;0,5815;7;7;3;0;12
2750;0;0;37;16;6;2400;43;17;7,2917;0,61;12;7;7,5;1;15
2014;0;1;49;13;5,4126;1135;47;12;3,5242;0,7215;7;14;14;1;11
1355;0;3;33;12;0,6642;2750;35;17;6,1818;0,7215;12;7;9,5;0;7
80;0;0;30;12;1,25;2085;32;16;2,9755;0,7515;12;12;11;1;9
1670;0;0;54;12;2,2754;2600;56;8;4,5769;0,7215;12;7;9,5;0;19
520;0;4;39;11;3,4615;3542;40;12;3,1056;0,7515;10;7;11;0;11
288;0;3;43;12;4,1667;1975;43;12;5,8228;0,7515;12;12;14;1;8
2014;0;3;31;9;4,4687;2400;32;12;7,5;0,6215;10;3;9,5;1;13
800;0;3;33;13;1,75;3000;37;14;8,3333;0,6215;12;7;7,5;1;4
1984;0;3;40;12;3,6694;1960;39;14;9,2347;0,6615;12;12;14;1;7
1823;0;1;36;12;6,5826;2000;39;9;5,5;0,6615;12;12;3;0;19
1500;0;0;51;12;2,6;3000;51;12;6;0,6615;7;7;9,5;1;14
2261;0;1;44;13;4,8651;2400;43;12;6,6667;0,6215;12;7;9,5;1;14
1728;0;3;42;16;5,787;2450;48;14;13,061;0,5215;12;14;9,5;1;3
1960;0;1;40;12;4,5408;2423;40;8;12,794;0,5215;12;12;7,5;1;9
1578;1;1;34;16;9,5057;2000;33;16;12;0,58;12;17;9,5;1;7
1316;0;0;30;17;10,638;2526;41;16;6,73;0,5815;16;17;11;1;7
1530;0;0;54;12;1,1111;2695;53;12;6,679;0,6915;7;7;14;0;14
2220;0;0;51;12;4,0541;2048;54;12;4,3945;0,6915;16;7;3;0;29
1336;0;2;44;9;2,6871;1920;46;11;4,6875;0,7515;7;10;11;0;19
1008;0;1;43;12;2,9762;2338;42;9;7,6989;0,6615;7;7;11;1;14
1944;0;1;34;12;3,1728;2945;37;8;4,3287;0,6915;10;7;7,5;0;16
2000;0;0;45;13;3,55;2047;52;12;6,7416;0,6615;12;7;11;1;10
258;0;0;39;12;17,907;1668;47;7;9,3525;0,6215;10;3;11;0;12
1785;0;0;50;12;3,4174;175;48;10;9,1429;0,7515;0;0;14;1;24
480;0;0;52;12;3,3333;1798;53;12;2,6418;0,7515;7;7;14;0;6
772;0;2;41;12;3,886;1222;45;12;7,365;0,7215;12;12;7,5;1;9
900;0;0;59;10;2,3111;1820;59;7;1,4066;0,7715;12;7;5;0;14
1428;0;0;52;12;1,7108;1560;60;8;1,5192;0,7715;10;7;14;0;26
210;0;0;46;16;2,1143;2210;49;12;3,3439;0,7515;12;12;14;0;7
239;1;5;41;12;9,9331;2874;48;16;2,9106;0,7215;3;7;11;1;4
1878;0;2;33;11;3,0277;2499;35;8;4,3834;0,7215;7;7;9,5;0;15
215;0;0;45;12;1,8605;3088;38;12;4,2098;0,7215;12;12;5;1;23
2340;1;2;36;10;0,1282;2020;37;8;3,7129;0,7815;10;7;7,5;0;1
1960;0;1;48;12;6,6327;1980;56;10;10,606;0,5515;7;7;14;1;29
532;0;1;47;12;5,6391;1968;47;11;8,6382;0,6615;7;3;11;1;9
394;0;0;45;12;1,599;2100;45;12;3,8367;0,7515;7;7;7,5;0;6
675;0;2;37;12;2,6667;2651;48;17;7,1671;0,6915;7;7;7,5;0;11
1515;0;4;46;16;7,9208;1918;49;14;8,8634;0,6215;12;10;14;1;17
1030;0;3;43;17;5,3398;2585;46;16;7,7369;0,6615;12;12;5;1;6
1250;0;2;42;12;4;2250;46;17;9,1702;0,6215;7;7;7,5;1;7
1158;1;2;34;17;6,0449;2480;39;17;11,29;0,5515;12;12;7,5;1;2
112;0;0;52;12;6,25;2924;53;12;6,3269;0,5815;7;7;7,5;1;24
336;0;3;37;12;2,9762;1896;52;9;4,7468;0,7515;10;7;7,5;0;4
1984;0;1;37;12;4,2339;2332;40;12;4,8885;0,6915;10;7;5;0;11
716;0;0;52;8;3,4916;3482;59;7;2,4842;0,7215;7;7;5;0;25
1410;1;0;30;12;4,9645;2106;30;14;8,547;0,6215;12;12;7,5;0;11
1300;0;1;31;13;2,7692;1160;32;12;6,6379;0,7515;17;7;11;1;2
1640;0;1;38;12;3,6585;2040;46;12;3,1863;0,7215;7;7;7,5;0;19
1202;0;3;43;12;5,3935;2856;48;16;4,5466;0,5815;7;7;9;1;7
489;0;1;49;8;0,6564;950;51;8;12,789;0,7515;7;7;5;1;2
2076;0;0;55;12;4,7688;2068;58;10;6,528;0,6615;7;7;5;1;20
526;0;2;38;17;8,5551;1896;42;17;16,403;0,5515;12;14;9,5;1;10
1721;0;0;52;17;10,459;2000;56;16;7;0,61;14;17;14;1;19
1327;0;0;48;12;2,6375;288;51;11;13,542;0,7515;7;7;11;1;17
584;0;2;32;13;6,8493;2160;33;12;6,713;0,6915;12;10;11;1;12
1376;0;1;32;12;5,0872;3120;33;17;5,4487;0,6615;7;7;5;1;11
1040;0;2;38;12;0,9615;1944;41;17;6,6872;0,7215;7;7;7,5;1;6
548;0;3;46;12;4,3066;2046;47;12;9,0943;0,6915;16;12;14;1;10
15;0;3;40;12;7,0667;2005;42;9;6,5337;0,7515;7;7;7,5;0;4
1980;0;4;31;9;2,5253;2070;36;10;4,686;0,7515;10;7;5;1;2
1520;0;1;43;10;7,8947;3000;50;12;8;0,5215;12;9;9,5;1;13
1880;0;0;51;12;4,1489;2640;51;12;4,053;0,6915;7;7;7,5;0;21
1260;1;0;30;16;8,1746;2450;34;17;8,1633;0,5515;16;14;5;1;9
1092;0;0;52;13;9,5971;1000;53;15;16,5;0,4615;10;7;11;1;4
1587;1;5;30;8;2,0164;2080;33;8;3,4615;0,7815;3;3;7,5;0;2
156;0;0;51;16;7,6218;2413;51;16;11,361;0,5515;16;16;11;1;19
1939;0;2;31;13;3,1975;2570;31;12;3,8911;0,7215;7;3;7,5;1;4
1250;0;4;34;12;1,6;2030;52;12;9,6059;0,6915;12;16;7,5;1;9
610;0;0;49;11;4,0984;4684;59;17;2,6687;0,7215;7;7;7,5;1;14
270;1;3;35;13;1,4815;2802;41;17;8,8865;0,6615;7;16;9,5;1;6
660;1;0;53;12;3,6364;2090;59;12;6,3636;0,7215;7;12;7,5;1;24
1000;0;3;32;12;1;2053;46;16;17,728;0,5515;12;7;11;0;1
1920;0;3;38;10;2,6042;1984;42;10;5,2923;0,7215;12;7;7,5;1;13
200;0;0;54;12;1,75;2040;54;16;15,686;0,5815;7;12;9,5;1;3
1500;0;1;47;17;4,8;2794;58;8;5,2423;0,5515;10;12;11;1;10
868;0;1;45;15;5,53;3290;47;14;3,0395;0,7215;14;12;9,5;1;16
2318;0;1;47;16;4,0984;1911;46;16;16,745;0,4915;16;16;5;1;9
2000;0;0;59;10;1,25;2000;60;12;3,75;0,6915;7;7;5;0;19
60;0;1;32;11;1,6667;2580;31;12;5,814;0,7215;10;9;5;1;4
1715;0;1;45;12;3,7901;2400;49;17;10,833;0,5815;7;7;7,5;1;10
550;0;4;40;12;2,3636;1740;47;12;9,0029;0,7215;14;12;5;1;5
1960;0;2;47;14;10,204;2500;50;12;6,54;0,61;14;12;3;1;7
44;1;2;36;16;6,8182;1840;37;17;5,9783;0,7515;12;10;5;0;3
1920;0;0;56;14;7,2146;2036;56;14;8,6248;0,5815;7;7;7,5;0;38
2540;0;1;41;8;2,4484;3536;43;11;4,8329;0,6215;7;12;9,5;0;16
156;0;3;48;7;1,1987;880;51;11;10,909;0,7515;3;7;11;0;13
780;1;2;36;12;1,641;2007;38;12;3,8864;0,7515;7;7;11;0;1
3120;0;0;41;12;1,7821;2632;44;13;8,4574;0,5515;7;3;5;0;7
2040;0;0;41;14;2,9412;2600;43;12;5;0,6915;7;10;11;1;15
1610;0;3;36;12;4,9689;2156;36;13;7,4212;0,6615;12;17;9,5;1;10
215;0;3;37;12;1,8605;3625;41;12;4,4938;0,6915;10;7;3;0;2
1120;0;0;38;12;8,0357;2420;42;12;7,0252;0,6215;7;3;9,5;1;19
846;0;2;43;14;3,9716;2080;43;9;3,2788;0,7515;3;3;7,5;1;25
3225;0;0;54;16;3,0416;3443;59;17;1,2861;0,7215;12;12;9,5;1;25
1376;0;1;38;12;2,907;2250;41;12;5,5556;0,7215;7;7;5;1;7
980;1;0;30;12;3,0612;2535;34;16;7,4951;0,5815;12;7;11;1;15
1838;0;0;49;12;4,8966;2352;48;15;22,109;0,4415;7;7;9,5;1;11
1494;0;1;45;13;4,0161;3036;49;6;9,058;0,4415;10;10;9,5;1;25
450;0;0;51;13;5,5556;2600;57;14;11,538;0,5215;7;7;9,5;1;19
1976;0;0;34;10;1,2227;2223;39;7;6,0468;0,6915;0;10;7,5;1;4
2012;0;2;34;12;2,6839;2666;34;10;1,3653;0,7515;7;7;7,5;1;14
561;0;1;41;12;2,6738;2006;41;17;16,55;0,5515;10;9;7,5;1;19
1715;0;1;49;12;9,3294;1710;49;17;8,7719;0,64;9;9;11;1;18
1912;0;0;32;12;3,1381;1920;46;14;9,6354;0,6615;12;12;5;1;14
3686;0;0;32;14;0,5426;1647;39;14;6,6788;0,7215;12;12;7,5;1;11
1080;0;2;32;17;8,6111;3080;35;15;7,5727;0,4415;12;12;5;0;4
1799;0;0;47;10;3,6687;1920;48;10;7,8125;0,6615;3;7;7,5;1;29
1984;0;1;39;9;2,3185;2420;47;4;1,9835;0,7515;9;9;7,5;0;21
1839;0;0;49;12;2,882;2205;53;15;9,5238;0,6215;12;12;11;1;24
1579;0;3;37;12;3,1666;3035;39;14;6,425;0,6615;12;7;7,5;1;19
96;0;0;59;16;3,6458;2185;60;15;10,984;0,6215;14;12;7,5;1;31
1920;0;0;50;12;6,25;1880;56;12;12,766;0,5215;7;7;14;1;28
1688;0;1;32;17;10,249;1863;33;17;9,5545;0,61;12;12;9,5;1;15
1589;0;0;46;12;3,2096;2456;48;16;5,4967;0,6615;12;12;11;0;27
345;0;2;43;17;7,6522;1847;46;17;9,7618;0,6915;12;14;14;0;13
1521;0;3;37;11;1,9724;2000;42;6;5;0,7515;7;7;7,5;0;4
1490;0;2;32;16;4,698;1856;35;14;5,9995;0,7215;12;14;9;1;10
989;0;1;39;11;2,1234;1880;43;14;6,9149;0,6915;10;10;9;1;8
600;0;2;34;13;2,3333;3020;35;12;4,9669;0,7215;12;12;7,5;0;4
2646;0;1;39;11;2,3896;2646;41;8;2,3896;0,6915;7;7;5;1;18
2149;0;3;45;8;1,2564;1640;48;9;4,5122;0,7515;7;7;5;1;3
320;0;0;50;11;1,0938;1950;54;11;9,2308;0,6615;3;12;7,5;1;11
1600;0;1;40;12;3,75;1920;39;12;11,458;0,5815;12;7;7,5;1;8
2419;0;1;30;10;3,3072;2025;34;12;7,6993;0,6615;7;7;11;1;10
2005;0;0;57;17;5,1352;2470;56;17;4,183;0,6615;16;12;11;1;33
1960;0;1;39;12;6,6327;1800;43;12;8,3333;0,6215;12;12;9;1;19
2147;0;0;53;12;4,5645;1920;56;8;5,1042;0,6915;12;12;7,5;1;35
1207;0;1;48;17;11,848;2039;53;17;8,2271;0,64;7;12;5;1;21
2000;0;1;46;14;3,75;2570;48;16;5,6634;0,6615;14;14;7,5;0;7
1260;0;0;47;12;4,3651;1914;54;12;5,222;0,7215;7;10;7,5;0;18
90;0;1;43;12;3,9333;1516;47;10;7,19;0,7515;7;7;7,5;0;4
1800;0;0;47;12;3,3333;2520;47;16;13,907;0,4915;12;7;7,5;1;12
573;0;1;47;12;3,3159;2327;48;12;6,0163;0,7215;10;7;14;0;16
1825;0;0;47;12;3,5616;2188;50;12;7,6782;0,6215;7;7;7,5;1;14
75;0;0;46;12;1,6;1864;48;12;5,3112;0,7515;3;7;7,5;1;3
1348;0;4;34;9;2,2255;2183;33;10;4,1228;0,7515;7;7;11;0;1
